Coffee/WaterRatio,Temperature,L-Malic acid,Trigonelline,Pyrogallol,Cinnamic acid,Citric acid,Quinic acid,Fructose,Glucose,Ferulic acid,Caffeic acid,Sucrose,Lactose,Maltose,CGA(Bitterness),Caffeine,CGA(Acidity)
10,92,0.572200891,0.011566296,0.003049998,0.00375,1.510197724,1.937085843,0.000204897,3.40E-05,0.0051133,4.819289931,0.037225247,0.274806414,4.94E-05,15.89794535,174.6607383,43.91697611
10,92,0.393088309,0.014547458,0.003958073,0.00315,0.05602711,2.243960926,0.000202037,4.64E-05,0.004355,6.061440972,0.06962158,0.344757586,3.45E-05,19.82293425,155.7292545,54.75948689
10,93,0.192338182,0.008149825,0.002434301,0.0028375,0.030024874,2.186980868,0.000145249,2.99E-05,0.002885,3.395760417,0.050919833,0.458095793,3.90E-05,15.69180827,133.7057499,43.34753667
10,93,0.143987964,0.007979083,0.002247025,0.00306875,0.119520346,1.931238563,0.000131102,2.70E-05,0.00326,3.324618056,0.016941282,0.294245379,3.39E-05,14.12800761,162.0684844,39.02764533
10,93,0.982796909,0.11190555,0.049909086,0.018789,1.566640898,2.299217317,0.00337147,0.000524181,0.0132878,46.6273125,0.059448684,0.194388931,0.000149496,21.91032747,165.4972887,60.52576649
10,93,0.9154278,0.117012796,0.053670998,0.0185105,0.297006031,2.51404962,0.003438866,0.000576674,0.0128704,48.7553316,0.059131482,0.215538103,0.00012085,25.01170471,145.3150463,69.09310692
10,93,0.828167327,0.010580217,0.002993078,0.00358125,3.236647819,2.329116449,0.000153016,3.53E-05,0.00396,4.408423611,0.05359799,0.328307966,4.16E-05,18.18949802,69.07322814,50.2472321
10,94,0.253714436,0.133038558,0.073687873,0.014413313,0.001025685,2.346516774,0.006586912,0.00068675,0.0120952,55.43273264,0.066194831,0.223379345,9.40E-05,14.47548533,24.88107412,39.98752855
10,94,0.190528509,0.008314925,0.00202927,0.0028875,0.144802024,1.936482011,0.000130203,2.44E-05,0.003885,3.464552083,0.016623078,0.301325207,3.44E-05,13.92246265,122.3764548,38.45984157
10,94,0.267406673,0.007882021,0.002121734,0.00310625,0.087256378,2.037342841,0.000135157,2.61E-05,0.00314,3.284175347,0.030272904,0.404610828,3.65E-05,15.84332576,119.9002606,43.76609327
10,94,1.138377836,0.115421583,0.044862347,0.017879812,2.444109976,2.421261875,0.003354033,0.000483223,0.01688135,48.09232639,0.060675784,0.185923862,0.000167522,23.84943329,829.254599,65.88241241
10,94,1.047072018,0.114846313,0.049723087,0.017941688,1.26392726,2.510144929,0.003634703,0.000534937,0.01631415,47.85263021,0.056324818,0.183993483,0.000155424,27.03266112,827.8471642,74.67585944
12,84,1.850925964,0.020154929,0.010595054,0.01533125,3.737235764,1.57370821,0.001560079,0.000140429,0.01298325,8.397887153,0.103243051,0.481104207,0.000324433,22.96677959,1463.503687,63.44414251
12,84,2.127335945,0.019755067,0.009174714,0.015639625,7.123363323,1.461893935,0.001377801,0.000119857,0.01156035,8.231277778,0.098006812,0.429095276,0.00036539,21.71972724,1344.306188,59.99924651
12,84,1.846662455,0.023254746,0.00965879,0.012242563,2.512447213,1.546660132,0.00160713,0.000134429,0.01156705,9.689477431,0.106743549,0.512903172,0.000367059,22.67629484,1259.410104,62.64169846
